ā,吖呵啊𠼞𥥩腌𨉚锕錒阿
wei,煀
wēn,塭昷㬈榅榲㮧殟温溫瑥㼔瘟𥁕緼蕰藴褞豱輼辒轀𨜵鎾鞰韞饂𩥈鰛鳁鰮𪉸
wén,匁彣𢾿文𣜺汶炆玟珳𤵒瘒紋纹䎹聞䎽𦖞芠蚉蚊螡蟁䘇𧖁闻閺閿阌闅𨶭闦雯馼駇𩢌𩭋䰚魰鳼鴍𪉃鴖鼤
wěn,㒚刎吻呅𠯳呡㖧㗃𡁋㝧忞忟愠抆㨉昧桽歾殁㳷𣶌煴𤡕眼稳穏穩𥦊𥧚笏𥬼紊肳脗䐇𦝮𦟕𦮶𨆲䦟限
wèn,𠐢免問妏娩㡈揾搵汶渂𤛁璺𥃮紊紋纹絻聞脕𦦯莬𧚇𨟸问𨸩顐鼤
wen,呚
wēng,𠰈嗡𡻐㮬滃㺋𥕀䈵翁螉𧚐𧛹𨜺鎓䩺𩔚𩰎䱵鶲鹟
wěng,勜嗡㘢塕奣㜲𡩥嵡攚暡滃𤌏㹙瞈翁聬䐥𦞡蓊𩄘𩔚𩡓𩮬
wèng,㙂𡍻壅瓮甕罋𦧅蕹𨞑齆
wō,倭咼唩喔𠷏𡁮堝𡑟挝捼撾涡涹渦濄𤉦㹻猧窝窩莴萵薶蜗蝸踒𩭝
wǒ,倭𠪧咼𡖲婐婑我㦱𢦴𢫷㧴捰𣇫𣚝𥑣䂺𥟿𧶕𨁟𩭏𩭝䰀𩮑
wò,仴偓卧嗌噁𠿟嚄𡎔夭媉媪㠛幄捾握擭𣁳斡𣂽杌枂楃㱧沃涴渥濣𤆏焥𤡓瓁瘟𤻌䀑𥄗瞃䁊矆硪𥪍䇶肟腛臒臥𦤨艧𦯏𦰖𦳹蒦𦷵𧤒𧥋踠䠎𨌝雘䩊𩈱𩐦𩟓馧𩣵䮸𩷯𪁕𪁾𪎤𪑱齷龌龏
Edit section: wu,]w乌兀𠛆剭𠞆呜喔嗚𡈎圬屋巫𢁢弙恶惡扜扝𢫸於杅杇㮧歍汙汚污洿渥烏𤣬盓𥁡𥎮𥟽窏箼𦶀𦼇𧆹䖚螐𧑕誈誣诬𧨆𧨈趶䡧邬鄔釫钨鎢𩝷鰞鴮𪄝䵦𪑱
wū,乌兀𠛆剭𠞆呜喔嗚𡈎圬屋巫𢁢弙恶惡扜扝𢫸於杅杇㮧歍汙汚污洿渥烏𤣬盓𥁡𥎮𥟽窏箼𦶀𦼇𧆹䖚螐𧑕誈誣诬𧨆𧨈趶䡧邬鄔釫钨鎢𩝷鰞鴮𪄝䵦𪑱
wú,亡侉俉𠘻務吳吴吾呉唔墲娪峿𡷤𢃀幠廡𢋹𢓲憮捂无梧橆𣟒毋母洖浯無㷻牾㹳珸㻍璑𤭑瞀𥕻祦禑𥭠𥲐䉑䍢𦌬𦥁𦨳芜茣莁䓊𦷽蕪蜈蝥蟱譕𧳎郚鋘鋙铻䦜𨼊𨿏𩒾䫓䮏𩳌𩶭鯃𩺰𩻚鵐鹀鷡鼯齬
wǔ,乄㐅五仵伍㑄侮俉倵㒇儛務𠥢午𠯃呒啎𠵦嘸𡈞埡堥塢㚢妩娒娬嫵庑廡𢑟忤怃𢘃𢜮憮𢨂𢩈𢫸捂摀旿㬳橆武母𣲘𣺀潕㵲𤆡熓牾玝珷瑦甒𤸼瞴碔𥕻𦌬膴舞䒉蕪𧴇𧺴𧽋䟼躌䡧迕逜𨖴𨡡𨶇陚𩠟𩵱䳇鵡鹉
wù,乌仡㐳伆兀𠒄务務勿卼唔嗚𠼘噁坞㘬塢奦娪婺寤𡬫𡯇屼𡵉岉嵍嵨㡔𢄓忢忤𢗳恶𢙁悞悟悮惡𢝴戊扤揾敄旄旿晤杌柮梧𣨓𣬽𣯎沕渞溩烏焐熃𤕘物珷𤵐㽾痦䀛䁷𥎈𥏒矹𥒀䃖窹笏粅𥾕𦆞𦎦䎸䑁𦨉𦬂芴蘁𧈭蝥𧎄𧎻𧐙誤误䛩䜑𧰈𧿉𨂣迕𨑥逜鋈𨧗𨨡𨲬䦍阢隖䨁雺雾霚𩄯霧霿靰𩓦𩗽𩝕騖骛鶩鹜䳱鼿齀
wu,錻
xī,俙傒僖兮𠔃𠔍凞𠘕𠜗㓾𠟊𠆱卤卥𠨚厀㕃虒𠩺𠬬㕧吚吸咥咦咭唏唽𠴭𠶨喜𠺒㗩㗭嘻噏𡁱㘊𡏛㚀夕𡗞𡗳奚𡘡娭㛓㛫㛭媐㜎嬆嬉𡡒㜯𡩤屎屖𡳚嵠𡻎嶲巂巇𢀊希𢋼𢑧徆徯忚𢗴怸恓息悉悕惁惜𢜣憘憙𢠹𢡁戲𢨟扱扸𢬾撕㩉㩦𢹍㪧昔𣅾晞晰晳暿㬛曦𣎮析栖桸棲榽㮩樨橀㯕𣟵𣢁𣢂𣢇𣢍𣢎𣢑欷㰻㰿歙㱆𣤳𣤴㱤𣨗氥㲸汐浠淅渓㴔溪㴧潝㶉𤃪𤄬𤇴烯焁焈㶼焟焬煕熄熈熙熹熺熻燍燨爔𤓔𤓚牺犀犠犧狶猎𤠓𤡡𤡯𤢀獻㺣𤥒琋𤬕𤬘𤮆𤮙𤲺𤳥𤶈𤶰𤷡瘜㾷𤹊𤺊皙㿽𥄖𥄛睎𥈻瞦䁯𥋟䂀矽硒碏磎礂禧稀穸窸𥰝粞糦緆縘繥羛義羲𦐠翕翖肸肹𦙝脅䏩腊䐅𦜱䐖𦞽膝𦠪𦤈舾𦩭䒊茜𦮐莃菥蒠𦼗𧀬䖒𧈼䖷蜤蜥螅螇蟋蠵裼西覀䙵䚙觹觽觿𧥤訢䚿詑䛊𧦭誒䛥譆谿豀𧯗豨豯𧲘𧳐貕𧶖赥𧹨𧻶䟇𧿝𨀙蹊𨋦遟邜郗鄎䣛酅𨡂醯釐釸錫錯锡鏭鑴𨳛𨵎𨻁隵𨿛䧿雟䨛𩅖䨳𩒽𩗊𩗱餏饻餙䭒䯜𩭡鯑鱚𩽨𩾼鵗䳶𪃼𪄛鸂䵱鼷䶋
xí,习㔒喺媳嵇嶍㠄席徯𢙅㦻擊㩗𣒃椺槢檄𣳬漝濕㽯㿇𥱵𥺚習䏮䒁𦪿莔蒵蓆𦸚薂𧋐蜴蝷𧐔袭褶襲覡觋䚫謑謵趘𧿅郋𨛳鎴𨻥隰雭霫䫣飁騱騽驨𩲁鰓鰼鳛𪄶𪓷鼳𪕯
xǐ,𠉢𠪙喜囍壐𡅕奊嬉屣𢊚𢒩𢒲徙憘憙暿杫枲橲歖𣯪洒洗漇灑𤟧玺𤤱𤨐璽瓕矖禧䈢𦂅縰纚𦱓葈葸蓰蟢𧣩諰𫍰謑𧺨蹝躧䢄𨜐𨞘釐鈢鉨鉩銑铣𨮪𩎉鱚𪖥
xì,係傒㑶𠜗𠤴匸卌𠦌𠦜卻呬呰咥嚊𡃢嚱塈墍㙾㚛𡘐𡙋𡜧𡝧㜎𡦎屃㞒屭𡶯㣟忥㤅怬恄㤸愾慀𢟪𢤋㦦戏戯戱𢧽戲𢨟𢭁㨙摡既㭡椞𣚔𣢓欪㰥欯𣣉㱇𣤢氣𣳦滊潟澙𤄎熂𤌷㸍犔𤡬㾙㿇䀌盻𥇛𥈜𥋁𥎃矽磶禊稧𥪦𥮬䈪𥰥𥻥䊠系細细𥿭綌绤𦃝繫𦞝䐼舃舄䓇蒵𦷲蔇蕮𧂙虩𧈅𧈈𧈍𧉁𧎵衋𧚃䙎覤𧤟䚷𧦁䛥𧧹謚䜁𧪢𧬈𧬊𧯈𧯊𧱲赩𧹶𧹽趇𨐛郄郤𨝫釳𨰿鈒𨳿阋闟𨷘䧍隙隟霼䨳𩊿𩍆𩎥䬣饩𩛹餼䮎𩦇鬩䲪𩿛𪅲黖䵱
xiā,傄㔠呀呷𠽫㗿岈㦆㰨𣢗㰰毳煆𤗭疨㾎瘕𥁆瞎𧇍虲虾蝦𧦎𧪕谺𧯋䠍𨳉閕颬𩮂魻鰕
xiá,侠俠假𠖹𠢆匣𠩘叚㗇嗑㘡𡈮埉夾㛍峡峽𢈙𢈤𢑓徦𢘉𢚌𢝅押捾搳𢻗敮斜暇柙㮫欱歃㰺浹𣹱炠烚𤙇狎狭狹珨瑕𤪆𤪍㽠睱硖硤碬磍祫笚筪𥯾𥰶給縀縖翈𦦕舝舺䒠葭𦵯蕸𦾏䖎𧆥䖖螛𧔂𧕱䘥䛅赮䞩轄辖遐郃鍜鎋𨲑䦖陜陿霞𩉾𩎲䪗𩐀𩏓䫗𩝛騢䯟魻鶷黠𪗾𪘁𪘘
xiǎ,𠽫閕閜
xià,丅下乤假厦吓呼哧唬嗄㗿嚇圷㙈𡏘㙤夏𠀼夓𡨄𡺷廈𢗄懗𢩹昰暇梺㰺煆𤗭𤟝疜睱𥻴罅芐𧈄諕謑𧪹𧫒𨩽鎼鏬𨻲𨽯𩄗𪄂
xiān,仙仚佡僊僲𠏡先㔾𠫄嘕𠏓奾妗姍姺嬐孅屳廯𢒆𢕖𢖎忺憸𢫿掀揱搟攕𢹚暹杴枮𣑹𣔙𣞘欦㰹㲔𣮾𣰷氙𤈷㷿㸝㺤珗㾾㿌䂅𥑻祆秈䄳𥟕䆎𥬍䉳籼䊱纤綅縿繊纎纖𦒜𦢙𦧐苮莶𦸊薟蘞𧗹褼襳𧫹𧱀𧸂跣跹𨁅蹮躚𨇤𨚾酰醶釤銑銛铦錟鍁锨锬䩂𩈖韯韱馦䯭䯹鮮鲜鱻鶱𪄏𪄷䵌
xián,伭𠊏𠛑𠤕咁咞咸唌啣嗛𠷢𠿢㘅㘋堿妶娴娹婱㛾嫌嫺嫻𡫹𡰲𡿤㡉𢅮𠓌𢎙弦㢺𢐐𢛆慊慳憪挦探𢮂撏𣊺㭹㮭㯗㰊𣢟㳄涎㳭湺溓澖㵪𤉌玹甉痫癇癎盷瞯瞷矣碱礥稴𥲋𥻧絃羬𦎵𦑘肩胘𦠹臤𦥖舷𦱁𦽭䕔藖䕭𧂞𧈁蚿蛝衔衘𢖋誸諴贤䝨賢贒𧼏輱醎銜閑閒闲䦥𨺘𩝈𩤥𩤦𩦂𩱆鰔䲗鹇𪂶鷳鷴鷼鹹麙𪔩䶢
xiǎn,仙冼𠠁𡗏㛍㜷尟尠崄𡸃嶮𡾮𢁗幰彡憲㦥𢥌㧥搟𢷑攇显㫫㬎㭠𣕎櫶𣟲毨𣭡洒洗濂㶍灑灦烍燹𤓤狝猃𤞤獫獮玁㿅𤼂省礆禒禰𥜦𥜬𥜲筅箲䉳䍎𦭶藓蘚蚬蜆䗾䘆𧕇𧖙䚚譣䜢赻𧾨跣軒𨙡䢾銑铣鍌䥪险䧋険險䧮䩙韅𩏩顕顯𩨡鮮鲜𩶤鱻
xiàn,伣俔僩僴𠚆𠜎县𠯟咞哯𠿢垷埳𡐖壏𡒓姭娊娨𡞣宪寰岘峴㡾𢋮𢕭𢖝𢚀憪憲㦑㦓懢捍搚撊㪇𣆕晛㬗梘槏橌㰹涀溓𤁦瀗𤟅献㺌𤡥獻现現㽉県𪾢睍䁂硍𥓒䃱䃸𥙆𥦶筧𥰳䉯粯𥻇糮𥽏线絤綖綫線缐縣𦋈羡羨脅䏹䐄腺膁𤑃臔臽𦩢苋莧蜆見见䙹𧠒誢譀豏賢𧻒𧾨軐軒𨍒𨏥𨐊𨖱䢭𨘙𨘞鋧錎䤼鏾䦘𨸄𨵬闞限陥䧋陷䧟䧮䨘霰䨷𩆵顈顯餡馅饀䭑𩧩𩤊𩦹𩱊鮮䱤𪎉麲䵇䵤黹鼸䶟
xian,鑦
xiāng,㐮儴勷厢啌啍乡廂忀𢪷楿欀湘𤉪瓖𤷼皀相稥𥫖箱緗缃纕膷舡芗葙薌蘘襄郷鄉鄊鄕鑲镶𩑇䬕香𩡄𩡌𩡠驤骧鱜𪂼麘
xiáng,佭㟄𡹷庠𢭎栙洋𤝷瓨𤭬𤰅祥䄈䇨絴羏𦍲𦍴𦎈翔䔗詳详䜶跭𨀘迒降𩾬鴹
xiǎng,亨享亯响𠸮㗽嚮𡨇想𢞡攘晑曏𤍀𥊾䊑𥿧𦕺䐟薌蚃䖮蠁𧬰鄉銄響飨餉饷𩝾𩞃𩞥饗饟鮝鲞鯗鱶
xiàng,傢像勨向嚮塂姠㟟嶑巷𢄵𢛖𢠷𣂝𣅰曏樣橡𣨳𣻍潒𤖽珦𤩪相𥗵𥣟𥥩缿萫𦺣𦺨蟓𧖿衖襐𧬰象𨉽𨖶𨙵䢽𨛜鄉銗𨧑鐌𨷿閧闂䦳𨷄降項项鬨鱌䴂𥀾
xiāo,𠈬侾俏𠑪削叟号呺呼㕺咻哓哨哮唬啋嗃𠹎嘐嘮嘵嚣嚻囂㚠婋𡟣𡣾𡦝宯宵𡯩𡷸𡼚庨彇𢓮憢𢪶捎𢭦揱搜撓撨㩋𢸳㪣枭枵梟梢𣕇橚櫹𣠎歊歒毊㲖消潇潚瀟灱灲烋焇熇燆𤑳㹲𤞚猇𤠖㺒𤡔獟獢𤣠痚痟𤺃睄𥆔硝硣穘窙箫箾簘簫綃绡䌃縿𦏷䎄翛𦐺肖脩𦟞膮莦萧萷蕭藃𧄤虈虓蛸蟂蟏蟰蠨謞謼譊𧮻𧱐𧳍𧵱踃𨊅逍銷销𨴹𨶅霄䨭𩋍颵䬒䬘𩙮𩙚骁騷驍驕𩧓骹髇髐𩫂𩫳𩱴魈𩾒𩾓𩾾鴞鸮䳂鴵鵁䳋𪁎鷍䴛
xiáo,佼𠴳㚣姣𡦝𡧕崤𢛘㬵𣏠㮁𣔷殽洨淆𤕢𤷤筊𥾤絞胶䒝𦺔𧍂訤誵䟁郩𨠦
xiǎo,小𡱉晓暁曉𤽳皛皢𥔑𥕾筱筿篠簫䒕𧡼𧢬𧩮𫍲謏轇䥵𩵖𩵮
xiào,俏俲傚𠏕㔅効咲哨哮𠴡啸嗃㗛嘋嘨嘯奡孝𡥍𡦳㤊恔𢹳效敩𢽾斅斆𣂬校𣟇歗𣤡殽𣱓涍𣹝漻澩𣿣㵿熽爻狡㹲𤟞㺒𤣌𤿨笑䉰䊥𥽁肖䐹𦢩𦦛芍茭𦯪𦱜薂䕧詨誟𧱐𨅋較霄鷕𪊷𪛀
xiao,恷
xiē,些㗨𡭥揳㨝𣆟𣒄楔歇𣣩㱔滊猲獦㾚𤺎𥌨𥍋𥗧𦪬蝎蠍𧓂𧥤𧳧𨧥𩫲
xié,㐖偕儶𠖹𠗉劦勰协協叶㖿嗋𡀺垥㙝㙦夾奊孈𡰢峫𡸔𢂐㢵𢓬恊㥟愶慀𢥘拹挟挾接𢯉揳搚携㨙摺撷㩉𢴲擕擷㩦㩪攜𢿡斜旪桔梋㭨𣣲歙𣫴汁湝𣹩𣻠熁燲𤙒𤞡𤢺𤣑瑎𤮯𤱷䀘眭𥆥䁯𥊯𥝖𥢹絜綊緳䋶缬纈𦋅翓耶胁脅脇脋𦚫膎苴䓳𦳃䔑𧀺䕵蝢𧏂𧏃𧐃𧑦衺裌䙎襭𧟃䙽諧谐讗䝱𧷑𨁂䡡𨏳邪鍱䦖𨵚𨵪𨷥𨾗鞋䩤𩋘𩋧鞵頁頡颉䬅𩤠𩰳鬹魼鮭鲑𩷂𩺫𪆋𪕯龤
xiě,写冩㕐㝍寫𣞐𣬕藛血𧭠䥾䥱
xiè,亵伳偞偰僁㒠𠑄写㓔㔎𠢲卨𠨆卸㕐吤𠲊唏㖑喈𠸴噧𠿇𡃂𡄕塮㙰夑𠅱𡗼契𡛶娎𡞘媟𡟩𡣹𡤋寫㞒㞕屑屓屟屧嶰𡽖㡜廨𢌀徢㣯㣰𢖆𢗊𢜨𢞜懈𢤯𢤰㦪𢬿揳𢹒暬枻械榍榝榭槷檞㰔㰡欸𣣶殺泄泻洩㳦㳿渫溉㴬㴮㴽潰𣽒澥瀉瀣灺炧炨烲焎燮爕㸉𤑪𤗈𤡧獬𤫉㽊𥀺𥇱䁋𥍆𥎎碿祄禼䉣䉏糏䊝紲绁絏絬𦁛緤繲缷𦎈𦔼𦖐𦚡𦞚𦩌𦵱薢薤䕈𧀢𧌊𧌋𧌖𧍁蝑蟹蠏𧓺𧖁褉䙊𧛼𧜔褻䙝𧜵𧝫觟解䚸諜謝谢譮𧭸豫𧷧跬𨄌躞躠𨇨𨈙迦䢡邂𨤴𨫔䦏𨳚𨼬隰𩂪𩃖䩧鞢𩍝𩎃𩐁韰𩐉䪥𩙜骱䲒𩽍𪍛䵦齂齘齛齥𪙥
xīn,俽𠑰㖕𠷓噷噺𡌜妡姰㛙嬜廞心𢗀忻惞𢠝𢭧𣂗𣂜新𣃄昕杺㭢欣款歆炘𤙖𤙣㽎盺䅽𦁍芯莘𦰸薪訢䜣䛥𨊳辛邤鈊鋅锌鑫馨馫𩾽𩿃𪀽
xín,㚯㜦寻尋撢𩖰枔橝𤫨礥襑鐔镡𩖣鬵
xǐn,伈𨓇
xìn,㐰伩信𠔋㔤囟𡈏㛛孞庍𢋆愖憖𢩲㭄㭡𣥇焮𤜢𤣲𤴾㾙𤷓𤹩𦉝脪𦜓𦞤𦢯𦤟興舋䒖芯衅𧗹䚱訫䛨䜗𧳄𧴢軐釁阠𩒦顖𩔙𩟍馸
xin,忄
xīng,兴𠬋𡃳垶㙚嫈嬹惺星曐𣨾煋㷣𤏽𤙡狌猩瑆皨䃏𥠀箵篂𦂅𦈒𦖤胜腥興𦩠䕟蛵𧌚䗌𧛟觪觲謃𨌍𨞾騂骍鮏鯹
xíng,𠀦㐩侀刑㓝坓型娙𡶭𡷨巠形㣜洐𣸝滎熒𤬐㼛𤶲研硎𦈨𦈵荥𧊞𧊽行𧗦邢郉䣆鈃钘鉶銒铏鋞䤯陉陘饧餳𩩋
xǐng,㝭𢜫㨘擤省睲𥨕箵醒䳙
xìng,倖兴㓑㚔姓婞嬹幸性𢙼悻杏𣢝涬㼬䁄睲䂔緈臖𦢯興荇莕䓷行䛭鋞𩈡䰢
xing,哘裄
xiōng,㐫兄兇凶匂匈哅㚾忷恟汹洶𦙄胷胸芎𦵡𧘮訩讻詾𧵣賯𧿖𨥍𩌠𩴂
xióng,熊能𧞞𧰯赨雄䧺
xiǒng,昫焽
xiòng,𠓙夐宪𡨳𡪰𡬁𢢹敻𢿌𣅷焸𤔫𤛪𥃴𥥧𥦥𦈤𦓈𦬺詗诇𧽒䠗𩧊
xiū,休俢修咻𡔨𡜨𡟞𡯐庥𢊒𢕦樇櫹㱗㳜㵻烋烌煦㹋㾋𥌪𥞼羞䏫脙脩䐰𦟤臹𦪋茠蓨𧌌䗛貅䡭銝鎀鏅𩘭飍𩛢馐饈𩡎𩢮髤髹𩭘𩮄鮴鱃鵂鸺𪀪𪘆
xiú,苬
xiǔ,宿𢩨朽㱙𣧬滫潃㽲糔綇𦈋𪕦
xiù,嗅㗜嚊宿岫峀𢓵溴𤚯珛琇璓㾋秀𥝠綉绣繍繡臭莠螑袖𧙏褎褏銹锈鏅鏥鏽𪁮齅
xū,于偦𠧰吁呼嘔嘘噓𠾫圩墟姁媭嬃幁㡏𢄼𢖳㥠戌𢨁𢨰𢩕揟旴𣅤晇朐楈𣚏欨㰭欻歔歘𣰃湑𤚉𤟠𤡣𤴙疞㽳盱眗𥈈砉𥕰稰窢䇓𥮪䈝𥳗緰縃𦄼𦅏繻𦈡𦓔𦔰䏏𦘼胥𦪡芋𦰰𦰲𦲰蓲蕦藇𧆜虗虚虛蝑𧙆裇𧟬訏諝谞𧪮謣譃𨂠𨅑𨞣𨬗鑐𨼋雩𩂉需須须𩑕頊顼𩒇𩒧𩓣𩖕驉鬚魆魖䱬𩾊𪆛𪙫
xú,余俆徐𣆒𥅺䍱蒣謳𨌎邪鉏
xǔ,㑔偦㑯冔𠯜呴咻姁㞰𡹲暊栩浒湑滸珝𤸀盨𥚩稰䅡糈䋶胥𦠷䔓蛡𧕼訏許许詡诩諿𨋾𨍐鄦醑䧁𩝔𩠋𩰠
xù,㐨𠆐伃休伵侐𠜄勖卹㕛叙咻㖅㖪喣𠷙𠹘嘼㗵㘧垿壻㚜妶姐婿㜅㜿𡦁㞊𡱣嶼序怴怵恓恤惐慉㦌掝敍敘旭旮昫勗𣊞朂朐槒𣢊欰㰲殈𣧵𣨤汿沀洫㳚淢湑溆𣸃滀漵潊㵰𤆞烅𤇳烼煦㷦獝𤡶㺷珬𤬱𤭽畜𤲸𤷇盢𥄵𥆛𥇏𥇿瞁𥊊瞲䂆𥍟矞𥎕𥎗稸絮続緒绪续緖續䎉𦑍𦕓聓聟肷𦜃𦝳芧𦯅蓄藇藚𧁃𧆡蚼𧊥𧏺䘏䙒規訹䛙𧧓賉𧶍𧹭𧹴𧼑䢕𨜿酗䣱䣴𨣦鉥銊䦗𨴎𨵮𨷔䦽𨹘𨻍𩌮𩌲𩍳𩔴𩔼䬄䬎馘𩣊𩪉𫚈魣䱛鱮𩽆䳳𪖩
xu,蓿
xuān,亘儇㓩吅咺喧𡈣塇媗嬛㝁宣𡬳弲𢏧𢙂愃愋懁㦥揎𢰊㩊擐昍昕晅暄暖梋烜煊煖狟𤟿瑄㻹睻䁔矎禤䆭箮縇𦐽翧𦑙翾萱萲蓒蕿藼蘐蜎蝖𧑩蠉䚙𧤎䚭䚯諠諼谖譞𧭦𧾎𨀮軒轩䡓䡣𨏂鋗鍹𩋱𩕖𩕪𩙽駽𩤡鰚䳦
xuán,儇𠗻𠣖𠤰㔯𠥞㘣𡈴妶嫙嬛𡾥𢆯悬懸𢳄旋暶檈𣟳泫㳬滋漩㹡玄玆玹琁璇㻽璿瓊痃盤䁢縣𧉎蜁䗠𧐗𧔤𧜽𧟨還鏇𩙢䮄䲂䲻䴉䴋
xuǎn,㔵咺喛喧𢈋㧋撰晅暅𣉖𣎓烜㾌癣癬𥥾𥶷𦌔𧡚𧡢䠣选選顈𩘒饌
xuàn,券𠵷夐姰𢂄怰㦏㧦揈𢳄𢿌旋昡楥楦㯀泫洵㳙涓渲澴𤂿炫煇玄玹琄䀏眩眴矎𥌭碹䃠絃絢绚絹縼繏𦈝䍗䍻𦛔蔙衒袨䘩䛹讂䝮贙𧸾𧾆𧾩𨁁𨊼選鉉铉鏇镟鐶𨹆䧎𩃚𩉥䩙鞙䩰𩋢𩋫𩑹颴𩟁駨𪍧
xuē,削㔃㔢哮㗾𢪎㻡疶𥄒矆蒆薛辥辪𨨺靴𩋾鞾韡𪃅
xué,乴㖸噱壆学學岤峃嶨𢯳𢼺敩斅斈㰒泶澩㶅燢㿱𥀣穴䋉𦥯茓𧉢𧋍袕觷𧸗踅雤䱑鸴鷽
xuě,㡜㨹膤樰艝𨂂轌雪䨮鱈鳕
xuè,吷㕰嚯坹㞽怴㦜𣎛桖𣧌𣧡𣧵𣪨決泧泬滈𣺭𤀰瀥炔𤇳㷤狘疦䀗𥄎𥄴𥅧瞲䆝䆷𦐍䎀䒸𦰾𧔗血䛎谑謔𧮞趐蹻𨑣𨒲䤕𨭁䦑𩌊䫼𩖱䬂𩖶䭥𩶫
xūn,勋勛勲勳嚑坃埙塤𡑎壎壦姰𡺕曛焄煇熏燻𤑕爋𤟤獯矄窨篔纁𫄸𦘶臐荤葷蔒薫薰蘍䗼𧰣䠝醺駨𩪱䵫
xún,侚偱咰㖊噚㜄寻尋峋㡄廵循恂悛揗㨚撏攳𩖰旬𣌨杊栒桪𣖼樳㰬毥洵浔潭潯㵌𤃺灥燂燅燖爓𤛧珣璕畃㽦𤿟䀏眴𥒘𥙣𥳍紃𥾡絢䋸𦅀𦅑𦠅荀荨𦳣蕁𧂇䖲蟫蟳䘩䙉詢询𧾝𧾠𧾩𨀴䡅巡遁郇鄩𨼔馴驯鲟鱏鱘𪀠𪀽
xùn,伨侚𠊫卂𠹀噀壎奞孫𡿼巺巽㢲𢏤徇愻梭殉殾毥汛洒浚𣹯潠濬熏狥狻稄筍𦫯蕈訊訓訙训讯𧥿䛜賐𧸩䞊迅迿逊逡遜鑂鑫𨺮𩊻顨䭀𩠇𩷰𩾄𩾧鶽𪇑
yā,丫亞俹𠋗𠜲压厭吖呀哑啞圧垭埡壓婭孲㝞庘押𣏎枒桠椏㰳㳌烏𤵭㾎𥇠䃁䆘𨁶铔錏𨨙鐚閘𨸺雅𩭯𩸋鴉鸦𩿔鴨鸭鵪鵶
yá,伢厑厓吾堐岈崕崖庌㧎拁枒涯㴫漄牙𤘅𤘆㹞猚玡琊瑘疨㾏𤷅睚𥌚䄰笌芽蚜𧓪衙𧡋𧬬𨖭邪釾雅𩃐顔𩖁齖𪗹𪘬𪘲
yǎ,厊哑唖啞婭庌掗疋𤴓痖瘂𤹎㿿蕥𧧝𨁶雅䪵鴉
yà,亚亜亞𠄮俹劜压𠮜呾𠵣𡇼圔圠埡堊壓姶娅婭㝞𡴭𡶦𡷻𡸗𡹄𡿖御㤉𢛄𢛟㧎挜掗𢮊揠𣉩札枒椻㰳歇氩氬浥潝牙犽猰玡𤸱䀴䀹𥏝𥐕砑𥒧碣磍䅉稏穵窫𦉟𦉧聐𦜖𧈝襾訝讶䝟軋轧輅輵迓䢝𨓴錏䦪𨹝𩑔䫔𩨠𩮝䰲𪆰䵝𪖐齖𪘬𪘲齾
ya,乛呀㗇
yān,偣傿𠛭剦𠝢厭咽㖶奄㛪嫣嬮崦嶖弇恹㤿㥼懕懨𢤍㮒樮橪殗𣩙殷洇淊淹湮漹烟焉焑煙𤎄燕㸶𤟟𤡖珚硽䅖䅧篶𥷀䊙𦎣𦏥胭𦛞腌𦝪臙䑍菸蔫䗎䗡䛳𧹬𧺅䞛䣍郾鄢醃𨣻閹閼阉阏𨻳𨽑𩈯𩣲𪐘黫𪑸黰
yán,严𠘥厂厃厳𠰖唌啱㗴嚴㘖㘙埏塩壛壧妍姸娫娮𡣽孍㝚岩嵒嵓𡻡巌巗巖𢉘延𢌨挻揅𢸴昖㫟楌檐櫩欕𣡞𣡶𣥡𣭻氤汧㳂沿𣼞㵪㶄𤅸炎炏𤖝狠狿㺂𤡖𤡥𤢋琂𤯐𤲩癌㿕㿼盐䀋䀽研硏䂴碞𥕼礹𥤟筵䇾簷𥴿𥶿䉷綖𦌚羡羬𦛣膁𦫤芫莚䓂蔅薟䕾䖗虤𧇱𧉮蜒𧍢𧎘䗡衍言訁讠訮詽𧬌𧴣贗𧻃趼巡䢥郔𨡄𨤎鉛铅鋋閆闫閻阎䦲𨷽阽𨸮險䪜顏顔颜䫡𩩄𩩴䲓𪂈鹽麙麣黬䶫
yǎn,乵俨𠉬偃𠍛儼兖兗剡匽厣厭厴㕣喭𠻤噞嚴埯夵奄𡙶㚧媕㜝嬐孍屵嵃𡹶𡹼嶮巘巚𢅠广𠆲𢇘𢈂㢂庵弇愝𢜰戭扊抁捝掞掩揜𢯼𢸴𢾑㫃𣃧𣃳𣄉𣄑晻曮棪㭺椼𣚕檿𣝎櫩沇沿淊淹渰渷演𣼠𤂠𤗎𤟇琰瓛𤫣甗𤯇𤸹𥀬𥃩𥃿眼䁙𥍓𥍻硽礹䄋𥜒䅖𥣘𥤴𥦍𥧑𥯃𦁙縯䌪罨𦏹䍾䎦𦖈𦧡菴萒𧊔蝘䗺衍裺褗𧞣覃𧠦𧥜𧽉𧽞𧾤𨀅𨁹𨂪𨃰𨆁躽𨒄遃䣍郾酀酓𨟹𨠭𨣻錟䤷閻阭隁𨺥隒𩇠靨顩𩗷魇魘鰋𩻖䲓鶠黡黤黬黭𪒝𪒠黶鼴鼹𪗙齗𪗤齞齴龑䶮
